episode,reward
0,10562.0
100,4863.0
200,6820.0
300,6575.0
400,7553.0
500,6059.0
600,7573.0
700,6994.0
800,5953.0
900,5648.0
1000,7920.0
1100,6510.0
1200,6216.0
1300,7603.0
1400,6089.0
1500,6071.0
1600,6606.0
1700,6836.0
1800,6545.0
1900,6157.0
2000,6694.0
2100,5737.0
2200,5759.0
2300,4140.0
2400,5797.0
2500,6602.0
2600,6454.0
2700,5132.0
2800,5720.0
2900,5994.0
3000,5504.0
3100,6464.0
3200,5352.0
3300,5050.0
3400,5448.0
3500,4460.0
3600,4894.0
3700,4970.0
3800,6568.0
3900,5180.0
4000,5664.0
4100,5607.0
4200,5826.0
4300,5663.0
4400,4980.0
4500,5829.0
4600,4816.0
4700,4289.0
4800,5203.0
4900,4947.0
5000,5680.0
5100,5473.0
5200,4893.0
5300,5645.0
5400,4869.0
5500,6641.0
5600,7453.0
5700,5268.0
5800,6421.0
5900,6871.0
6000,7349.0
6100,7486.0
6200,7096.0
6300,7494.0
6400,7939.0
6500,7728.0
6600,6536.0
6700,7650.0
6800,8238.0
6900,8437.0
7000,9084.0
7100,9065.0
7200,8040.0
7300,8584.0
7400,8330.0
7500,10320.0
7600,9530.0
7700,9481.0
7800,8680.0
7900,9146.0
8000,10559.0
8100,9385.0
8200,10113.0
8300,10010.0
8400,11675.0
8500,10560.0
8600,10146.0
8700,10177.0
8800,10778.0
8900,9474.0
9000,10236.0
9100,10265.0
9200,10210.0
9300,9513.0
9400,9746.0
9500,11380.0
9600,12780.0
9700,10742.0
9800,11438.0
9900,12314.0
10000,12745.0
10100,11807.0
10200,11475.0
10300,10097.0
10400,11347.0
10500,10115.0
10600,9339.0
10700,11072.0
10800,10446.0
10900,12484.0
11000,10839.0
11100,10744.0
11200,11052.0
11300,11025.0
11400,11490.0
11500,10320.0
11600,10950.0
11700,10372.0
11800,11202.0
11900,8833.0
12000,10709.0
12100,10860.0
12200,11371.0
12300,12163.0
12400,10984.0
12500,10229.0
12600,10844.0
12700,10634.0
12800,10702.0
12900,9424.0
13000,11491.0
13100,11394.0
13200,11437.0
13300,9629.0
13400,10943.0
13500,11463.0
13600,12736.0
13700,11343.0
13800,13372.0
13900,10965.0
14000,10357.0
14100,10016.0
14200,12492.0
14300,11450.0
14400,13256.0
14500,10747.0
14600,11979.0
14700,10204.0
14800,11105.0
14900,10587.0
15000,10884.0
15100,10475.0
15200,11855.0
15300,10358.0
15400,10990.0
15500,11168.0
15600,11184.0
15700,11233.0
15800,11670.0
15900,12074.0
16000,10237.0
16100,10046.0
16200,9415.0
16300,10947.0
16400,11130.0
16500,9678.0
16600,10199.0
16700,11210.0
16800,11008.0
16900,10468.0
17000,10210.0
17100,10845.0
17200,9869.0
17300,10332.0
17400,12155.0
17500,11126.0
17600,13189.0
17700,11480.0
17800,11566.0
17900,10792.0
18000,10507.0
18100,10728.0
18200,10693.0
18300,10705.0
18400,11263.0
18500,10663.0
18600,11037.0
18700,10646.0
18800,11462.0
18900,9333.0
19000,11573.0
19100,11960.0
19200,10342.0
19300,10938.0
19400,12344.0
19500,10881.0
19600,11304.0
19700,9691.0
19800,9349.0
19900,10366.0
20000,10949.0
20100,10866.0
20200,10672.0
20300,10921.0
20400,11046.0
20500,10762.0
20600,9532.0
20700,10687.0
20800,9562.0
20900,10149.0
21000,11254.0
21100,12847.0
21200,9832.0
21300,9997.0
21400,9979.0
21500,9603.0
21600,10224.0
21700,10057.0
21800,11317.0
21900,10036.0
22000,8519.0
22100,10828.0
22200,10112.0
22300,12522.0
22400,13178.0
22500,10649.0
22600,11063.0
22700,11330.0
22800,12645.0
22900,10816.0
23000,10894.0
23100,11254.0
23200,10293.0
23300,10718.0
23400,10488.0
23500,10440.0
23600,9068.0
23700,10653.0
23800,10607.0
23900,12243.0
24000,12138.0
24100,11405.0
24200,9411.0
24300,10387.0
24400,9013.0
24500,9198.0
24600,10274.0
24700,10328.0
24800,11623.0
24900,10361.0
25000,10977.0
25100,10361.0
25200,10833.0
25300,11343.0
25400,10531.0
25500,11633.0
25600,10878.0
25700,11094.0
25800,9301.0
25900,11036.0
26000,11100.0
26100,10578.0
26200,10038.0
26300,12754.0
26400,10004.0
26500,12429.0
26600,9482.0
26700,10548.0
26800,9155.0
26900,10499.0
27000,10879.0
27100,12646.0
27200,12983.0
27300,12198.0
27400,10768.0
27500,11289.0
27600,10228.0
27700,8681.0
27800,10966.0
27900,12273.0
28000,9635.0
28100,9534.0
28200,9483.0
28300,10590.0
28400,9947.0
28500,11131.0
28600,10585.0
28700,12846.0
28800,10381.0
28900,9397.0
29000,11259.0
29100,10049.0
29200,11238.0
29300,11138.0
29400,10702.0
29500,12478.0
29600,11616.0
29700,12209.0
29800,10697.0
29900,10261.0
30000,12681.0
30100,10209.0
30200,11641.0
30300,12279.0
30400,11163.0
30500,10792.0
30600,12761.0
30700,12110.0
30800,11717.0
30900,12183.0
31000,10509.0
31100,11967.0
31200,11951.0
31300,11214.0
31400,12031.0
31500,11449.0
31600,11162.0
31700,11011.0
31800,13443.0
31900,11239.0
32000,12896.0
32100,11921.0
32200,13084.0
32300,14167.0
32400,11584.0
32500,11571.0
32600,9113.0
32700,12031.0
32800,13231.0
32900,12023.0
33000,13451.0
33100,11250.0
33200,12000.0
33300,10788.0
33400,11503.0
33500,12126.0
33600,11115.0
33700,13871.0
33800,10526.0
33900,11391.0
34000,13361.0
34100,11973.0
34200,10272.0
34300,13661.0
34400,11688.0
34500,12692.0
34600,11402.0
34700,11271.0
34800,10387.0
34900,12689.0
35000,9645.0
35100,11470.0
35200,12181.0
35300,10388.0
35400,11695.0
35500,12114.0
35600,10718.0
35700,12413.0
35800,11758.0
35900,10758.0
36000,10572.0
36100,11510.0
36200,9618.0
36300,11375.0
36400,10576.0
36500,10379.0
36600,11579.0
36700,13141.0
36800,11817.0
36900,10302.0
37000,11130.0
37100,12829.0
37200,10774.0
37300,10750.0
37400,11333.0
37500,12370.0
37600,9197.0
37700,9938.0
37800,10891.0
37900,10119.0
38000,11751.0
38100,9755.0
38200,10365.0
38300,11343.0
38400,10781.0
38500,9300.0
38600,10981.0
38700,11902.0
38800,11080.0
38900,13057.0
39000,9651.0
39100,12124.0
39200,10987.0
39300,9334.0
39400,9032.0
39500,10574.0
39600,12805.0
39700,10743.0
39800,10449.0
39900,11398.0
40000,8086.0
40100,10958.0
40200,10823.0
40300,9590.0
40400,10445.0
40500,10686.0
40600,11560.0
40700,12597.0
40800,10227.0
40900,11019.0
41000,11451.0
41100,12054.0
41200,12821.0
41300,12325.0
41400,12020.0
41500,12937.0
41600,11293.0
41700,11534.0
41800,11163.0
41900,10710.0
42000,15271.0
42100,11381.0
42200,10310.0
42300,12414.0
42400,12864.0
42500,11421.0
42600,12778.0
42700,10316.0
42800,11469.0
42900,11209.0
43000,11195.0
43100,9206.0
43200,9962.0
43300,8830.0
43400,11086.0
43500,11137.0
43600,10161.0
43700,10560.0
43800,11615.0
43900,12403.0
44000,11636.0
44100,11219.0
44200,12302.0
44300,13148.0
44400,10471.0
44500,11139.0
44600,11301.0
44700,12870.0
44800,9720.0
44900,14109.0
45000,12072.0
45100,12564.0
45200,11273.0
45300,11812.0
45400,11333.0
45500,11298.0
45600,12302.0
45700,10138.0
45800,12590.0
45900,11055.0
46000,9989.0
46100,11333.0
46200,11216.0
46300,13864.0
46400,12363.0
46500,11545.0
46600,11495.0
46700,12346.0
46800,12240.0
46900,10124.0
47000,13225.0
47100,12330.0
47200,10531.0
47300,12313.0
47400,12131.0
47500,11850.0
47600,11597.0
