episode,reward
0,65872.0
100,8868.0
200,24804.0
300,32316.0
400,26806.0
500,48144.0
600,24601.0
700,26371.0
800,38166.0
900,26715.0
1000,26310.0
1100,27276.0
1200,37363.0
1300,21939.0
1400,28810.0
1500,30345.0
1600,31005.0
1700,33151.0
1800,41427.0
1900,39537.0
2000,52734.0
2100,44730.0
2200,56762.0
2300,37253.0
2400,41707.0
2500,32176.0
2600,47245.0
2700,46057.0
2800,54344.0
2900,23196.0
3000,32732.0
3100,47718.0
3200,51645.0
3300,60267.0
3400,41933.0
3500,37093.0
3600,43978.0
3700,40624.0
3800,56048.0
3900,32180.0
4000,47230.0
4100,32171.0
4200,41843.0
4300,35217.0
4400,49566.0
4500,54030.0
4600,40366.0
4700,49270.0
4800,46473.0
4900,51714.0
5000,21253.0
5100,38900.0
5200,44812.0
5300,40227.0
5400,49092.0
5500,38725.0
5600,48635.0
5700,45573.0
5800,38528.0
5900,38401.0
6000,24733.0
6100,48133.0
6200,37193.0
6300,47970.0
6400,38969.0
6500,36100.0
6600,42154.0
6700,38187.0
6800,42397.0
6900,46900.0
7000,46942.0
7100,44498.0
7200,40284.0
7300,57871.0
7400,53853.0
7500,51198.0
7600,61169.0
7700,57030.0
7800,68468.0
7900,43375.0
8000,44918.0
8100,54575.0
8200,54412.0
8300,61143.0
8400,61207.0
8500,55558.0
8600,44449.0
8700,41463.0
8800,37627.0
8900,65923.0
9000,55900.0
9100,47023.0
9200,51609.0
9300,52898.0
9400,56074.0
9500,53485.0
9600,53502.0
9700,36809.0
9800,52175.0
9900,57781.0
10000,48847.0
10100,40493.0
10200,36588.0
10300,39472.0
10400,56360.0
10500,66207.0
10600,50947.0
10700,63420.0
10800,60004.0
10900,62897.0
11000,55508.0
11100,41511.0
11200,56900.0
11300,37727.0
11400,49293.0
11500,44961.0
11600,41554.0
11700,56755.0
11800,46540.0
11900,50312.0
12000,62322.0
12100,60513.0
12200,62694.0
12300,56872.0
12400,59078.0
12500,55713.0
12600,73603.0
12700,35131.0
12800,66402.0
12900,55490.0
13000,61949.0
13100,73622.0
13200,50202.0
13300,44371.0
13400,70003.0
13500,76774.0
13600,57356.0
13700,65755.0
13800,62193.0
13900,59558.0
14000,42383.0
14100,43606.0
14200,59796.0
14300,52782.0
14400,65890.0
14500,69785.0
14600,50632.0
14700,70327.0
14800,65614.0
14900,61759.0
15000,46662.0
15100,65798.0
15200,55749.0
15300,48207.0
15400,54448.0
15500,52160.0
15600,56786.0
15700,59079.0
15800,56761.0
15900,55466.0
16000,61977.0
16100,61346.0
16200,58608.0
16300,54971.0
16400,61138.0
16500,71363.0
16600,50419.0
16700,53813.0
16800,88005.0
16900,48188.0
17000,61214.0
17100,54782.0
17200,55037.0
17300,63605.0
17400,64781.0
17500,35391.0
17600,53630.0
17700,56058.0
17800,49780.0
17900,69162.0
18000,51817.0
18100,66565.0
18200,54794.0
18300,50981.0
18400,42181.0
18500,54277.0
18600,63423.0
18700,47596.0
18800,73211.0
18900,56951.0
19000,80395.0
19100,62161.0
19200,45028.0
19300,72404.0
19400,51861.0
19500,51977.0
19600,65794.0
19700,62954.0
19800,43803.0
19900,51571.0
20000,65809.0
20100,55393.0
20200,58995.0
20300,58393.0
20400,51740.0
20500,61792.0
20600,61151.0
20700,58409.0
20800,50198.0
20900,56431.0
21000,67043.0
21100,50988.0
21200,56376.0
21300,49653.0
21400,61033.0
21500,53979.0
21600,68173.0
21700,63826.0
21800,54782.0
21900,41811.0
22000,60379.0
22100,60769.0
22200,58345.0
22300,63040.0
22400,70834.0
22500,56745.0
22600,57621.0
22700,55307.0
22800,62672.0
22900,60233.0
23000,67776.0
23100,64451.0
23200,57406.0
23300,55198.0
23400,43446.0
23500,57034.0
23600,69845.0
23700,28640.0
23800,76556.0
23900,53559.0
24000,62778.0
24100,71414.0
24200,75986.0
24300,48127.0
24400,69255.0
24500,48213.0
24600,70402.0
24700,71437.0
24800,51776.0
24900,55783.0
25000,66406.0
25100,51366.0
25200,53741.0
25300,63164.0
25400,41565.0
25500,45520.0
25600,84223.0
25700,61422.0
25800,58022.0
25900,57027.0
26000,65635.0
26100,63814.0
26200,75375.0
26300,70621.0
26400,79039.0
26500,58216.0
26600,68845.0
26700,75283.0
26800,61587.0
26900,54340.0
